Audience View,Date,Aggregation,Audience Size
Your engaged audience,2026-04-28,Monthly,10000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.495,0.93
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.485,4.482
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.18,1.169
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.134,0.567
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.111,2.023
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.111,0.575
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Home and Decorations,"{'name': 'DIY Home and Decorations', 'id': '947657535178'}",0.092,0.87
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Bag and Purse,"{'name': 'DIY Bag and Purse', 'id': '954200326838'}",0.092,1.462
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,Polymer Crafts,"{'name': 'Polymer Crafts', 'id': '946907157789'}",0.089,1.927
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.718,2.058,Residential Architecture,"{'name': 'Residential Architecture', 'id': '917763335785'}",0.604,1.931
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.718,2.058,Landscape and Urbanism Architecture,"{'name': 'Landscape and Urbanism Architecture', 'id': '924770706928'}",0.576,2.55
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.718,2.058,Architectural Style,"{'name': 'Architectural Style', 'id': '908797015303'}",0.497,0.745
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.718,2.058,Commercial and Office Architecture,"{'name': 'Commercial and Office Architecture', 'id': '958567870080'}",0.309,1.697
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.718,2.058,Educational Architecture,"{'name': 'Educational Architecture', 'id': '916646672676'}",0.097,3.567
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.718,1.324,Travel Destinations,"{'name': 'Travel Destinations', 'id': '958862518888'}",0.976,1.036
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.718,1.324,Travel Ideas,"{'name': 'Travel Ideas', 'id': '904309328219'}",0.625,1.172
Health,"{'name': 'Health', 'id': '898620064290'}",0.711,1.222,Diet and Nutrition,"{'name': 'Diet and Nutrition', 'id': '899102674037'}",0.558,0.858
Health,"{'name': 'Health', 'id': '898620064290'}",0.711,1.222,Lifestyle,"{'name': 'Lifestyle', 'id': '916100312986'}",0.309,0.694
Health,"{'name': 'Health', 'id': '898620064290'}",0.711,1.222,Medical,"{'name': 'Medical', 'id': '912753135383'}",0.193,2.154
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.701,1.444,Fitness and Exercises,"{'name': 'Fitness and Exercises', 'id': '912503731943'}",0.562,1.273
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.701,1.444,Outdoor Sport,"{'name': 'Outdoor Sport', 'id': '899504507492'}",0.555,2.342
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.701,1.444,Cycling,"{'name': 'Cycling', 'id': '932527952341'}",0.221,5.193
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.701,1.444,Dancing,"{'name': 'Dancing', 'id': '952036629213'}",0.196,0.663
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.701,1.444,Soccer,"{'name': 'Soccer', 'id': '916147467802'}",0.167,0.859
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Meal Planning,"{'name': 'Meal Planning', 'id': '956336077278'}",0.815,1.075
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Desserts,"{'name': 'Desserts', 'id': '897118241776'}",0.62,0.837
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Drinks,"{'name': 'Drinks', 'id': '961675572303'}",0.504,1.281
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Appetizers,"{'name': 'Appetizers', 'id': '918804435640'}",0.348,1.748
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Fruit,"{'name': 'Fruit', 'id': '919979591528'}",0.337,1.045
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,World Cuisine,"{'name': 'World Cuisine', 'id': '936568516643'}",0.207,0.79
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Cooking Method,"{'name': 'Cooking Method', 'id': '906644424942'}",0.109,0.753
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Bread,"{'name': 'Bread', 'id': '926528168958'}",0.109,1.277
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Salad,"{'name': 'Salad', 'id': '960683755187'}",0.105,1.166
