Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Education,"{'name': 'Education', 'id': '922134410098'}",0.748,1.253,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.119,0.718
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.737,0.979
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.701,0.943
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.658,0.851
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.52,1.215
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Music,"{'name': 'Music', 'id': '936111947007'}",0.396,0.822
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.389,0.921
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.19,1.074
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Book,"{'name': 'Book', 'id': '908410600882'}",0.13,0.754
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.747,1.147,Theater,"{'name': 'Theater', 'id': '905051048835'}",0.04,2.243
Design,"{'name': 'Design', 'id': '902065567321'}",0.738,1.245,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.538,1.526
Design,"{'name': 'Design', 'id': '902065567321'}",0.738,1.245,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.53,0.802
Design,"{'name': 'Design', 'id': '902065567321'}",0.738,1.245,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.34,1.917
Design,"{'name': 'Design', 'id': '902065567321'}",0.738,1.245,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.077,1.938
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.681,1.366,Travel Destinations,"{'name': 'Travel Destinations', 'id': '958862518888'}",0.964,1.027
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.681,1.366,Travel Ideas,"{'name': 'Travel Ideas', 'id': '904309328219'}",0.617,1.169
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.681,1.366,Travel Tips,"{'name': 'Travel Tips', 'id': '950689877411'}",0.072,1.824
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.681,1.366,Restaurant,"{'name': 'Restaurant', 'id': '945959299598'}",0.028,
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.523,0.986
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,Fabric Crafts,"{'name': 'Fabric Crafts', 'id': '909430966917'}",0.453,0.779
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.41,3.728
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.182,1.171
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.159,0.654
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Bag and Purse,"{'name': 'DIY Bag and Purse', 'id': '954200326838'}",0.098,1.61
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.097,1.802
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.095,0.489
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Home and Decorations,"{'name': 'DIY Home and Decorations', 'id': '947657535178'}",0.085,0.777
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,Polymer Crafts,"{'name': 'Polymer Crafts', 'id': '946907157789'}",0.076,1.708
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Edible,"{'name': 'DIY Edible', 'id': '896201377663'}",0.05,1.155
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,DIY Jewelry,"{'name': 'DIY Jewelry', 'id': '905972712093'}",0.021,0.462
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.667,1.214,Beading,"{'name': 'Beading', 'id': '916525081982'}",0.012,0.56
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Fitness and Exercises,"{'name': 'Fitness and Exercises', 'id': '912503731943'}",0.518,1.188
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Outdoor Sport,"{'name': 'Outdoor Sport', 'id': '899504507492'}",0.5,2.084
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Soccer,"{'name': 'Soccer', 'id': '916147467802'}",0.229,1.169
